id,water,speed,coffee,HB,W,S,De
1,1,1,1,0.10660973505825844,0.10660973505825844,0.10660973505825844,0.10660973505825844
2,1,2,4,0.012903404835907573,0.012903404835907573,0.012903404835907573,0.012903404835907573
3,1,3,2,0.0881072675102672,0.0881072675102672,0.0881072675102672,0.0881072675102672
4,1,4,3,0.03871451218069044,0.03871451218069044,0.03871451218069044,0.03871451218069044
5,2,1,4,0.026317308317374,0.026317308317374,0.026317308317374,0.026317308317374
6,2,2,2,0.07503518594291414,0.07503518594291414,0.07503518594291414,0.07503518594291414
7,2,3,3,0.032789822822991255,0.032789822822991255,0.032789822822991255,0.032789822822991255
8,2,4,1,0.15942773692810164,0.15942773692810164,0.15942773692810164,0.15942773692810164
9,3,1,2,0.04706751085798544,0.04706751085798544,0.04706751085798544,0.04706751085798544
10,3,2,3,0.039740328649513934,0.039740328649513934,0.039740328649513934,0.039740328649513934
11,3,3,1,0.012903404835907573,0.012903404835907573,0.012903404835907573,0.012903404835907573
12,3,4,4,0,0,0,0
13,4,1,3,0.026317308317374,0.026317308317374,0.026317308317374,0.026317308317374
14,4,2,1,0.04445176257083361,0.04445176257083361,0.04445176257083361,0.04445176257083361
15,4,3,4,0.028573372444055778,0.028573372444055778,0.028573372444055778,0.028573372444055778
16,4,4,2,0.054067221270275745,0.054067221270275745,0.054067221270275745,0.054067221270275745
